Temperatura A,Temperatura B, Diferencia,Voltaje
56.16,28.81,27.35,0.18
56.16,26.49,29.67,0.18
56.16,27.66,28.5,0.18
56.04,26.49,29.55,0.18
56.16,26.49,29.67,0.17
56.04,27.66,28.38,0.18
56.16,27.66,28.5,0.18
55.92,26.49,29.43,0.17
55.92,28.81,27.11,0.17
56.16,27.66,28.5,0.17
55.92,27.66,28.26,0.17
55.80,28.81,26.99,0.17
55.92,26.49,29.43,0.18
55.80,26.49,29.31,0.17
55.68,26.49,29.19,0.17
55.80,27.66,28.14,0.17
55.80,26.49,29.31,0.18
55.80,26.49,29.31,0.17
55.55,26.49,29.06,0.18
55.55,25.29,30.26,0.17
55.68,26.49,29.19,0.17
55.55,27.66,27.89,0.17
55.68,28.81,26.87,0.17
55.68,27.66,28.02,0.17
55.68,26.49,29.19,0.17
55.43,26.49,28.94,0.17
55.43,27.66,27.77,0.17
55.55,27.66,27.89,0.17
55.43,26.49,28.94,0.17
55.30,26.49,28.81,0.17
55.43,27.66,27.77,0.17
55.18,25.29,29.89,0.17
55.30,25.29,30.01,0.17
55.18,27.66,27.52,0.17
55.30,27.66,27.64,0.17
55.30,26.49,28.81,0.17
55.18,25.29,29.89,0.16
55.18,28.81,26.37,0.17
55.05,27.66,27.39,0.17
55.05,26.49,28.56,0.17
55.18,27.66,27.52,0.17
54.92,27.66,27.26,0.17
55.05,26.49,28.56,0.17
55.05,27.66,27.39,0.17
54.92,26.49,28.43,0.17
54.92,26.49,28.43,0.16
54.92,25.29,29.63,0.16
54.79,27.66,27.13,0.16
54.92,28.81,26.11,0.16
54.79,27.66,27.13,0.16
54.79,26.49,28.3,0.17
54.66,25.29,29.37,0.16
54.66,27.66,27.0,0.17
54.66,25.29,29.37,0.16
54.52,27.66,26.86,0.16
54.52,25.29,29.23,0.16
54.52,26.49,28.03,0.16
54.52,27.66,26.86,0.16
54.52,25.29,29.23,0.17
54.52,27.66,26.86,0.16
54.39,26.49,27.9,0.17
54.26,27.66,26.6,0.16
54.39,26.49,27.9,0.16
54.26,27.66,26.6,0.16
54.39,27.66,26.73,0.16
54.26,25.29,28.97,0.16
54.26,27.66,26.6,0.16
54.26,27.66,26.6,0.16
54.26,25.29,28.97,0.17
54.12,26.49,27.63,0.16
53.98,27.66,26.32,0.17
53.84,26.49,27.35,0.16
53.98,25.29,28.69,0.16
53.98,26.49,27.49,0.16
54.12,27.66,26.46,0.16
54.12,26.49,27.63,0.16
53.98,26.49,27.49,0.16
53.98,25.29,28.69,0.16
53.84,26.49,27.35,0.16
53.98,27.66,26.32,0.16
53.84,26.49,27.35,0.16
53.84,25.29,28.55,0.16
53.84,26.49,27.35,0.16
53.71,27.66,26.05,0.16
53.71,25.29,28.42,0.17
53.57,27.66,25.91,0.16
53.71,28.81,24.9,0.16
53.57,25.29,28.28,0.16
53.57,26.49,27.08,0.16
53.57,26.49,27.08,0.16
53.57,26.49,27.08,0.16
53.42,26.49,26.93,0.16
53.42,26.49,26.93,0.16
53.71,25.29,28.42,0.15
53.28,26.49,26.79,0.16
53.42,25.29,28.13,0.15
53.42,26.49,26.93,0.16
53.28,24.07,29.21,0.16
53.14,25.29,27.85,0.16
53.14,25.29,27.85,0.16
53.28,25.29,27.99,0.16
53.14,26.49,26.65,0.15
53.14,27.66,25.48,0.16
53.14,26.49,26.65,0.16
53.14,26.49,26.65,0.16
53.28,26.49,26.79,0.16
52.99,27.66,25.33,0.16
52.99,24.07,28.92,0.16
53.14,26.49,26.65,0.16
52.99,26.49,26.5,0.15
52.99,26.49,26.5,0.16
52.99,26.49,26.5,0.16
52.70,25.29,27.41,0.15
52.85,25.29,27.56,0.15
52.70,25.29,27.41,0.16
52.70,25.29,27.41,0.15
52.55,27.66,24.89,0.16
52.55,26.49,26.06,0.16
52.55,24.07,28.48,0.16
52.55,25.29,27.26,0.15
52.55,26.49,26.06,0.16
52.40,27.66,24.74,0.16
52.40,25.29,27.11,0.15
52.40,25.29,27.11,0.16
52.40,25.29,27.11,0.15
52.40,24.07,28.33,0.16
52.25,24.07,28.18,0.16
52.25,26.49,25.76,0.15
52.25,26.49,25.76,0.15
52.25,25.29,26.96,0.15
51.95,26.49,25.46,0.15
52.40,26.49,25.91,0.15
52.10,24.07,28.03,0.15
52.10,25.29,26.81,0.15
52.10,26.49,25.61,0.16
